frn,provider_id,holding_company
0001618008,130728,"Leaco Rural Telephone Cooperative, Inc."
0001621127,190084,City of Glenwood Springs
0001621531,470109,J and R Electronics Inc.
0001623321,130378,Custer Telephone Cooperative Inc.
0001623818,131075,"Project Mutual Telephone Cooperative Association, Inc."
0001628288,250028,"Collins Communications, LLC"
0001629294,300125,"Richon, Inc."
0001629781,131090,"Range Telephone Cooperative, Inc."
0001630201,360114,Union Holding Corp.
0001630532,131190,"Horizon Communications, Inc."
0001631084,220073,Mountain West Technologies Corporation
0001631134,300182,Bridger Valley Electric Association Inc.
0001637222,131367,"Triangle Telephone Cooperative Assn., Inc."
0001643006,131129,"CommunityTel, Inc."
0001644798,131476,"Wes-Tex Telephone Cooperative, Inc."
0001646140,131090,"Range Telephone Cooperative, Inc."
0001646165,130132,"Blackfoot Telephone Cooperative, Inc."
0001646454,130002,"3 Rivers Telephone Cooperative, Inc."
0001646470,130890,"Nemont Telephone Cooperative, Inc."
0001646587,130826,"Mid-Rivers Telephone Cooperative, Inc."
0001647734,130744,"Lincoln Telephone Company, Inc."
0001648039,131231,Southern Montana Telephone Company
0001649078,130327,"Community Telephone Co., Inc."
0001649847,131057,"Ponderosa Communications, Inc."
0001650233,131512,"XIT Rural Telephone Cooperative, Inc."
0001651009,390008,"Applied Technology Group, Inc."
0001655125,131466,West Texas Rural Telephone Cooperative Inc.
0001664481,130400,"Dell Telephone Cooperative, Inc."
0001665835,130464,"Etex Telephone Cooperative, Inc."
0001667765,160127,LICT Corporation
0001675461,131383,"Tularosa Basin Telephone Company, Inc."
0001676519,130199,"Cap Rock Telephone Cooperative, Inc."
0001677335,190233,"Hilliary Communications, LLC"
0001678044,130307,"Coleman County Telephone Cooperative, Inc."
0001678788,131031,Peoples Telephone Cooperative
0001678804,131512,"XIT Rural Telephone Cooperative, Inc."
0001683630,130645,Industry Telephone Company
0001684166,130123,"Nevill Holdings, Inc."
0001685718,340001,"Valley Telephone Cooperative, Inc. (TX)"
0001685841,130612,"Hill Country Telephone Cooperative, Inc."
0001687326,150335,"Wharton County Electric Cooperative, Inc."
0001687557,131234,"Southwest Texas Telcom, Inc."
0001687813,131413,"Windstream Holdings, Inc."
0001687979,450052,"Guadalupe Valley Electric Cooperative, Inc."
0001692268,440018,City of Sallisaw
0001698752,130195,Canadian Valley Telephone Company
0001699412,190233,"Hilliary Communications, LLC"
0001699578,440000,"First American Holdings, Inc."
0001699693,130366,"NBVDS Investments, LLC"
0001699776,131039,Pine Telephone Company
0001700186,130201,Carnegie Telephone Company
0001700418,131007,"Panhandle Telephone Cooperative, Inc."
0001700459,130561,Grand Telephone Company
0001700616,130366,"NBVDS Investments, LLC"
0001700632,130425,"Dobson Technologies, Inc."
0001700855,130130,Bixby Telephone Company
0001700863,131045,Pioneer Telephone Cooperative (OK)
0001700905,130226,"Central Oklahoma Telephone Co., LLC"
0001700947,130107,"Beggs Telephone Company, Inc."
0001701275,130794,"NBVDS Investment, LLC"
0001704246,131007,"Panhandle Telephone Cooperative, Inc."
0001714146,130685,"Kaplan Telephone Company, Inc."
0001714567,130939,"Northeast Louisiana Telephone Co., Inc."
0001714708,131103,"Reserve Holdings, Inc."
0001714781,131103,"Reserve Holdings, Inc."
0001715937,131226,American Broadband Holding Company
0001717743,130340,Conway Corporation
0001717859,460041,Hope Water & Light Commission
0001730126,131362,"Townes Telecommunications, Inc."
0001730142,131214,South Arkansas Telephone Co.
0001730944,131518,"Yelcot Holding Group, Inc."
0001730969,130768,MADCO Holding Company
0001731280,131518,"Yelcot Holding Group, Inc."
0001731470,170001,"Puerto Rico Telephone Company, Inc."
0001731710,130427,"E. Ritter Communications Holdings, Inc."
0001731785,131232,"Southwest Arkansas Telephone Cooperative, Inc."
0001731850,130882,"NATCO Communications, Inc."
0001732668,130386,"D D & B, Inc."
0001734888,160127,LICT Corporation
0001742170,131302,"Telapex, Inc."
0001742501,140030,Fail Telecommunication Corporation
0001745603,190367,The Utilities Board of the City of Sylacauga
0001753557,131480,"WideOpenWest Finance, LLC"
0001753870,131038,Pine Belt Communications Co. Inc.
0001753938,131226,American Broadband Holding Company
0001754209,131038,Pine Belt Communications Co. Inc.
0001754738,260000,"Farmers Telecommunications Cooperative, Inc."
0001756089,130844,Millry Corporation
0001758705,500010,City of Dickson Department of Electricity
0001758846,370127,Tullahoma Utilities Authority
0001761766,430054,Milan Department of Public Utilities
0001762582,260009,Columbia Power and Water Systems
0001762939,160108,Bristol Tennessee Essential Services
0001768159,130396,"DeKalb Telephone Cooperative, Inc."
0001769405,370129,Union City Energy Authority
0001772888,130068,"Synergy Technology Partners, inc."
0001773225,131611,"Highland Telephone Cooperative, Inc. (KY & TN)"
0001773464,130112,"Ben Lomand Rural Telephone Coop., Inc."
0001773670,131384,Twin Lakes Telephone Cooperative Corporation
0001775295,131378,Otelco Inc.
0001778893,130446,"Electric Plant Board of the City of Glasgow, KY"
0001778935,510013,"Electric Plant Board of the City of Paducah, Kentucky"
0001779420,190184,Henderson Municipal Power & Light
0001779594,190089,City of Williamstown
0001783414,190282,Owensboro Municipal Utilities
0001783612,150312,Russellville Electric Plant Board
0001783653,330031,Franklin Electric Plant Board
0001786607,130434,"East Kentucky Network, LLC"
0001791995,130655,Gearheart Communications
0001792563,190182,"Harlan Community Television, Inc."
0001792621,130068,"Synergy Technology Partners, inc."
0001792696,131216,South Central Rural Telecommunications Cooperative Inc.
0001792787,130865,"Mountain Rural Telephone Cooperative Corporation, Inc."
0001813369,240037,Fort Pierce Utilities Authority
0001824325,180014,City of LaGrange
0001833193,131051,Plant Telephone Company
0001834696,130360,"Cox Communications, Inc."
0001835073,131227,Southern Company
0001844554,300086,MCNC
0001855287,131113,Ringgold Telephone Company
0001855337,130265,Citizens Mutual Telephone Cooperative (GA)
0001856145,131413,"Windstream Holdings, Inc."
0001856236,131076,"Public Service Communications, Inc."
0001856400,130391,"Darien Telephone Company, Inc."
0001856426,130151,"Strickland Communications, Inc."
0001856483,140030,Fail Telecommunication Corporation
0001856566,130746,"Lintel, Inc."
0001856673,131041,"Pineland Telephone Cooperative, Inc."
0001857598,131485,"Dycom Holding, Inc."
0001857952,130077,AT&T Inc.
0001858760,150258,Ellijay Telephone Company
0001858927,470018,Coastal Electric Membership Corporation
0001859339,460645,Altamaha Electric Corporation
0001886464,131158,"Sandhill Telephone Cooperative, Inc."
0001886704,130183,"Cable One, Inc."
0001886860,131005,"Palmetto Rural Telephone Cooperative, Inc."
0001886944,130620,"Horry Telephone Cooperative, Inc."
0001886977,131459,"West Carolina Rural Telephone Cooperative, Inc."
0001887025,130490,"Farmers Telephone Cooperative, Inc. (SC)"
0001887116,130242,"TruVista Communications, Inc."
0001887140,131036,"Piedmont Rural Telephone Cooperative, Inc."
0001887728,131125,"Comporium, Inc."
0001888718,131125,"Comporium, Inc."
0001889245,131125,"Comporium, Inc."
0001889617,131125,"Comporium, Inc."
0001912138,131486,Wilkes Telephone Membership Corporation
0001913979,131042,Town of Pineville
0001940022,130926,North Carolina RSA 3 Cellular Telephone Company
0001951144,130082,Atlantic Telephone Membership Corporation
0001951284,131089,Randolph Telephone Membership Corporation
0001952555,131199,Skyline Telephone Membership Corporation
0001952605,131283,Surry Telephone Membership Corporation
0001959758,131413,"Windstream Holdings, Inc."
0001960673,380045,French Broad Electric Membership Corporation
0001960962,131252,Star Telephone Membership Corporation
0001961416,131125,"Comporium, Inc."
0001962588,131425,Verizon Communications Inc.
0002008043,130588,"Hardy Telecommunications, Inc."
0002009405,131303,"TelAtlantic, Inc."
0002061653,131024,Pembroke Telephone Cooperative
0002064145,131181,Shenandoah Telecommunications Company
0002069862,131170,Scott County Telephone Cooperative
0002071579,130901,New Hope Telephone Cooperative (VA)
0002072668,131181,Shenandoah Telecommunications Company
0002072916,440025,Craig-Botetourt Electric Cooperative
0002073203,131425,Verizon Communications Inc.
0002073427,380016,BARC Electric Cooperative
0002109213,131425,Verizon Communications Inc.
0002154367,131167,"Schurz Communications, Inc."
0002154706,131208,"Smith Bagley, Inc."
0002166825,131425,Verizon Communications Inc.
0002212314,130697,Kingdom Telephone Company
0002285260,131145,S&T Telephone Cooperative Association
0002295400,230006,City of Chanute Kansas
0002320430,131141,Rural Telephone Service Company
0002323731,130684,"KanOkla Telephone Association, Inc."
0002327153,131395,"United Telephone Association, Inc."
0002329662,300192,"USConnect Holdings, Inc."
0002330843,130460,Epic Touch Company
0002331262,130144,"Blue Valley Tele-Communications, Inc."
0002332930,131900,"Cunningham Management, Inc."
0002333649,131087,"Rainbow Telecommunications Association, Inc."
0002333672,130551,"Golden Wheat, Inc."
0002333839,420187,"Golden Belt Telephone Association, Inc"
0002333888,140092,"Twin Valley Management, Inc."
0002334225,130364,Craw-Kan Telephone Cooperative Inc.
0002334407,140092,"Twin Valley Management, Inc."
0002334795,131044,"Pioneer Telephone Association, Inc."
0002335099,131395,"United Telephone Association, Inc."
0002336105,131141,Rural Telephone Service Company
0002339976,130860,The Moundridge Telephone Company
0002387033,130546,Glenwood Telephone Membership Corp.
0002387264,130114,BW Telcom
0002387868,130361,Cozad Telephone Company
0002388262,130546,Glenwood Telephone Membership Corp.
0002388684,131349,Three River Telco
0002388882,130941,Northeast Nebraska Telephone Company
0002392249,131461,West Iowa Telephone Company
0002393379,150250,DTC Holding Company
0002393544,131043,"Pinpoint Holdings, Inc."
0002405215,130274,City of Faith Municipal Telephone Company
0002426831,130243,Cheyenne River Sioux Tribe Telephone Authority
0002429686,270099,"Western Communications, Inc."
0002430163,140101,West River Cooperative Telephone Company
0002430510,131409,"Valley Telecommunications Cooperative Association, Inc."
0002430536,130828,"Midstate Communications, Inc. (SD)"
0002430684,130550,"Golden West Telecommunications Cooperative, Inc."
0002430916,130797,"TrioTel Communications, Inc."
0002432672,130040,"Alliance Communications Cooperative, Inc."
0002475168,130184,"Cable Services, Inc."
0002476281,130337,Consolidated Telcom
0002477503,131407,UTMA
0002477636,130108,BEK Communications Cooperative
0002477651,131465,West River Telecommunications Cooperative
0002477693,130950,Northwest Communications Cooperative
0002477743,131102,Reservation Telephone Cooperative
0002487908,300087,Marshall Municipal Utilities
0002490472,130736,STEL-CO
0002504058,130798,McDonald County Telephone Company
0002504298,130263,Green Hills Telephone Corporation
0002505519,130560,Grand River Mutual Telephone Corporation
0002506384,360007,Barry Electric Cooperative
0002513240,430203,Kennett Board of Public Works
0002531879,130781,Mark Twain Rural Telephone Company
0002533297,280047,"Rayfield Communications, Inc."
0002534618,130952,Northwest Missouri Cellular
0002545929,130833,McCammon Enterprises
0002549228,130781,Mark Twain Rural Telephone Company
0002549665,131260,"Steelville Telephone Exchange, Inc."
0002550309,130183,"Cable One, Inc."
0002557627,130433,East Buchanan Telephone Cooperative
0002557742,130290,Clear Lake Independent Telephone Company
0002561884,131239,Spencer Municipal Communications Utility
0002564870,190085,City of Hawarden
0002565059,190180,Grundy Center Municipal Light & Power
0002575777,131008,Panora Communications Cooperative
0002576411,131136,RSA 1 Limited Partnership
0002576452,130757,Long Lines
0002586998,130877,Mutual Telephone Company (IA)
0002587707,130877,Mutual Telephone Company (IA)
0002587863,131222,"South Slope Cooperative Telephone Company, Inc."
0002587954,130598,Heart of Iowa Communications Cooperative
0002588051,130849,Modern Cooperative Telephone Company
0002588192,130346,Cooperative Telephone Company
0002588606,130223,"Center Junction Telephone Company, Inc."
0002589281,130092,"Baldwin Nashville Telephone Company, Inc."
0002589307,131457,Webster-Calhoun Cooperative Telephone Association
0002589604,130732,Lehigh Valley Cooperative Telephone Association
0002590032,131507,Woolstock Mutual Telephone Association
0002590057,131494,Winnebago Cooperative Telecom Association
0002590073,131472,Western Iowa Telephone Association
0002590586,130979,Onslow Cooperative Telephone Association
0002591063,130475,Farmers Cooperative Telephone Company-Dysart
0002591154,130682,Kalona Cooperative Telephone Company
0002592061,130846,"Minerva Valley Telephone Company, Inc."
0002592285,130302,C-M-L Telephone Cooperative Association
0002592384,131463,West Liberty Telephone Company
0002592392,131461,West Iowa Telephone Company
0002592426,131458,Wellman Cooperative Telephone Association
0002592509,131085,"Radcliffe Telephone Company, Inc."
0002592517,130353,Corn Belt Telephone Company
0002592640,131414,"Van Buren Telephone Co., Inc."
0002592897,131613,Sully Telephone Association
0002592921,131267,Stratford Mutual Telephone Company
0002593358,130344,"Coon Valley Cooperative Telephone Association, Inc."
0002593440,131166,Schaller Telephone Company
0002593481,131146,Sac County Mutual Telephone Company
0002593655,131096,Readlyn Telephone Company
0002593986,130906,"Nuvera Communications, Inc."
0002594067,130983,Oran Mutual Telephone Company
0002594125,130321,"Communications 1 Network, Inc."
0002594190,130877,Mutual Telephone Company (IA)
0002594216,130805,MTC Technologies
0002594752,130782,Marne & Elk Horn Telephone Company
0002594778,130969,Ogden Telephone Company
0002594893,130938,Northeast Iowa Telephone Company
0002594976,130756,Lone Rock Cooperative Telephone Company
0002595106,170062,La Porte City Telephone Company
0002595452,130419,Dumont Telephone Company
0002595734,130596,Hawkeye Telephone Company
0002595858,130877,Mutual Telephone Company (IA)
0002595874,130321,"Communications 1 Network, Inc."
0002596195,130495,Fenton Cooperative Telephone Company
0002596344,130485,Farmers Mutual Telephone Cooperative of Shellsburg
0002596377,130483,Farmers Mutual Telephone Company-Jesup
0002598076,131171,Scranton Telephone Company
0002598209,130290,Clear Lake Independent Telephone Company
0002598225,130677,Jefferson Telephone Company
0002598407,130179,Butler-Bremer Mutual Telephone Company
0002598464,130169,Brooklyn Mutual Telecommunications Cooperative
0002598779,340004,Allamakee-Clayton Electric Cooperative Inc.
0002621951,130821,Midcontinent Communications
0002623635,130906,"Nuvera Communications, Inc."
0002626984,130008,Ace Telephone Association
0002638641,130885,North Dakota Telephone Company
0002644284,130074,"Arvig Enterprises, Inc."
0002644953,131014,Paul Bunyan Rural Telephone Cooperative
0002645497,130115,Benton Cooperative Telephone Company
0002645612,131460,West Central Telephone Assn.
0002645729,130074,"Arvig Enterprises, Inc."
0002645778,130031,Albany Mutual Telephone Association
0002645927,130008,Ace Telephone Association
0002647287,130074,"Arvig Enterprises, Inc."
0002647857,130074,"Arvig Enterprises, Inc."
0002648285,130906,"Nuvera Communications, Inc."
0002650422,131009,Park Region Mutual Telephone Company
0002650828,130074,"Arvig Enterprises, Inc."
0002652048,130906,"Nuvera Communications, Inc."
0002652519,130526,Garden Valley Telephone Company
0002652741,470029,Federated Rural Electric Association
0002707875,130919,Wittenberg Telephone Company
0002713626,131427,"Vernon Telephone Cooperative, Inc."
0002713683,130239,"Chequamegon Communications Cooperative, Inc."
0002716561,130077,AT&T Inc.
0002717031,130058,Amherst Telephone Company
0002719045,130862,Mount Horeb Telephone Company
0002719458,130291,"Clear Lake Telephone Company, Inc."
0002720977,130057,"Amery Telcom, Inc."
0002721157,130726,"LaValle Telephone Cooperative, Inc."
0002721629,130613,"Hillsboro Telephone Company, Inc."
0002722049,131467,"West Wisconsin Telcom Cooperative, Inc."
0002723336,130138,Bloomer Telephone Company
0002723534,130093,"Baldwin Telecom, Inc."
0002723732,130058,Amherst Telephone Company
0002723773,130057,"Amery Telcom, Inc."
0002733897,370050,Holland Board of Public Works
0002733921,190096,Coldwater Board of Public Utilities
0002735751,440121,"Board of Trustees, Northern Michigan University"
0002751881,130018,"Agri-Valley Communications, Inc."
0002756187,130008,Ace Telephone Association
0002771228,130097,Barry County Services Company
0002771244,130385,"D & P Communications, Inc."
0002776599,130607,"Hiawatha Communications, Inc."
0002776771,130077,AT&T Inc.
0002801256,131123,Robinson Communications Corporation
0002813848,410161,Graymont Cooperative Assn.
0002816411,131180,"Shawnee Communications, Inc."
0002817500,130799,McDonough Telephone Cooperative Inc.
0002817823,130444,Egyptian Telephone Cooperative Association
0002818177,130819,Mid Century Telephone Co-operative
0002821221,350088,Shelby Electric Cooperative Inc.
0002860468,300074,Jo-Carroll Electric Cooperative Inc.
0002860856,130077,AT&T Inc.
0002871754,270023,"City of Richmond, Indiana"
0002884963,130569,"Great Plains Communications, Inc."
0002898724,131225,Southeastern Indiana Rural Telephone Cooperative
0002898856,131078,"Pulaski White Rural Telephone Cooperative, Inc."
0002899060,130586,Hancock Rural Telephone Corporation
0002901791,131286,"Sweetser Rural Telephone Company, Inc."
0002901817,131285,Fiberhawk
0002901833,130569,"Great Plains Communications, Inc."
0002901957,450151,Southeastern Indiana Rural Electric Membership Corporation
0002902955,130905,"New Paris Telephone Company, Inc."
0002903045,130853,Monon Telephone Company Inc.
0002903144,500059,Miami Cass County Rural Electric Membership Corp.
0002903839,460050,LaGrange County Rural Membership Corporation
0002904654,130077,AT&T Inc.
0002922201,131342,The Ottoville Mutual Telephone Company
0002924751,150266,"Hanson Communications, Inc."
0002924777,131290,Sycamore Telephone Company
0002926582,131329,The Champaign Telephone Company
0002930980,130116,Benton Ridge Telephone Company
0002934974,190071,Cable Co-Op
0002946986,130077,AT&T Inc.
0003007481,130619,The Chillicothe Telephone Co
0003020146,130316,"Combined Technologies, Inc."
0003183167,380147,Westmoreland Telephone Company
0003188133,440152,"Mobile Communication Service, Inc."
0003189172,480114,Youngsville Television Corporation
0003193000,131362,"Townes Telecommunications, Inc."
0003194776,130609,"Hickory Utility Services, Inc."
0003219227,131026,"Pencor Services, Inc."
0003222213,131026,"Pencor Services, Inc."
0003271798,131425,Verizon Communications Inc.
0003271871,131413,"Windstream Holdings, Inc."
0003273505,131425,Verizon Communications Inc.
0003316692,131425,Verizon Communications Inc.
0003412871,131378,Otelco Inc.
0003414224,310000,Brick Skirt Holdings
0003433323,130780,"Margaretville Telephone Company, Inc."
0003435633,131339,The Middleburgh Telephone Company
0003436367,131337,The Hancock Telephone Company
0003451317,130369,Crown Point Telephone Corporation
0003454410,131339,The Middleburgh Telephone Company
0003469442,131425,Verizon Communications Inc.
0003473709,130741,Liberty Latin America Ltd.
0003474327,130183,"Cable One, Inc."
0003510195,130370,Altice USA
0003628971,131425,Verizon Communications Inc.
0003645843,460632,"VTel Wireless, Inc."
0003666435,430060,"New Hampshire Electric Cooperative, Inc."
0003666708,131517,Granite State Communications
0003707767,130887,"Nedelco, Inc."
0003707775,130242,"TruVista Communications, Inc."
0003708013,130887,"Nedelco, Inc."
0003708104,130734,Lennon Telephone Company
0003708120,130921,NITCO Holding Corporation
0003708203,131074,"Progressive Voice & Data, Inc."
0003708237,131074,"Progressive Voice & Data, Inc."
0003708575,131413,"Windstream Holdings, Inc."
0003708906,350124,BT Americas Holdings Inc.
0003709458,131152,Salina Spavinaw Telephone Company Inc.
0003709888,130673,James Valley Cooperative Telephone Company
0003710100,130545,Glenwood Telephone Company
0003710597,390138,"Egyptian Communication Services, Inc."
0003713906,131378,Otelco Inc.
0003713963,130877,Mutual Telephone Company (IA)
0003714805,130032,"Albion Telephone Company, Inc."
0003715877,130603,Henderson Cooperative Telephone Company
0003715885,131023,"Pembroke Telephone Company, Inc."
0003715968,240063,Murray Electric System
0003716073,131413,"Windstream Holdings, Inc."
0003716164,131476,"Wes-Tex Telephone Cooperative, Inc."
0003716255,130206,Day Management Corporation
0003716263,130206,Day Management Corporation
0003717709,131125,"Comporium, Inc."
0003717725,131125,"Comporium, Inc."
0003717949,131261,Stelle Telephone Company
0003718426,131486,Wilkes Telephone Membership Corporation
0003719929,131186,Sierra Tel Communications Group
0003720471,131413,"Windstream Holdings, Inc."
0003720968,130535,"Geneseo Communications, Inc."
0003720984,130192,"Cambridge TelCom, Inc."
0003720992,130192,"Cambridge TelCom, Inc."
0003721008,130604,"Henry County Communications, Inc."
0003721396,131413,"Windstream Holdings, Inc."
0003721495,130802,"McNabb Communications, Inc."
0003722113,130488,Farmers Telephone Company-Batavia
0003722121,160127,LICT Corporation
0003722188,130374,Cumberland Telephone Company
0003722410,130953,Northwest Communications Cooperative Association
0003722444,130565,Grauer Management Inc.
0003722485,131114,Ringsted Telephone Company
0003722758,131321,Terril Telephone Cooperative
0003722790,130484,Farmers Mutual Telephone Company-Nora Springs
0003722824,130484,Farmers Mutual Telephone Company-Nora Springs
0003722840,130845,Minburn Telephone Company
0003722865,130484,Farmers Mutual Telephone Company-Nora Springs
0003722907,140106,"WTC Communications, Inc."
0003722949,130953,Northwest Communications Cooperative Association
0003722998,130953,Northwest Communications Cooperative Association
0003723053,130794,"NBVDS Investment, LLC"
0003723129,130366,"NBVDS Investments, LLC"
0003723640,131311,Telephone Electronics Corporation
0003723665,131311,Telephone Electronics Corporation
0003723681,131311,Telephone Electronics Corporation
0003723699,280069,ZMP Holding Company
0003723707,131311,Telephone Electronics Corporation
0003723715,131311,Telephone Electronics Corporation
0003723723,131311,Telephone Electronics Corporation
0003723731,280069,ZMP Holding Company
0003723756,131008,Panora Communications Cooperative
0003723780,131311,Telephone Electronics Corporation
0003723822,130228,"Lumen Technologies, Inc."
0003724655,131510,Wyoming Mutual Telephone Company
0003724705,131315,Templeton Telephone Company
0003726288,130482,"Farmers Mutual Telephone Company of Stanton, Iowa"
0003726759,130473,"F&B Communications, Inc."
0003727146,131114,Ringsted Telephone Company
0003728284,130674,"JED Enterprises, Inc."
0003728615,131045,Pioneer Telephone Cooperative (OK)
0003728680,131122,Roberts County Telephone Cooperative Association
0003729142,130112,"Ben Lomand Rural Telephone Coop., Inc."
0003729316,131367,"Triangle Telephone Cooperative Assn., Inc."
0003729324,131367,"Triangle Telephone Cooperative Assn., Inc."
0003729340,130254,Cincinnati Bell Inc.
0003730702,130930,North English Cooperative Telephone Company
0003730728,130819,Mid Century Telephone Co-operative
0003730835,130492,FDF Communications Co.
0003730850,130363,"Craigville Telephone Company, Inc."
0003730900,131116,River Valley Telecommunications Cooperative
0003730959,131116,River Valley Telecommunications Cooperative
0003731114,131226,American Broadband Holding Company
0003731759,130310,Colo Telephone Company
0003731791,131378,Otelco Inc.
0003731882,131125,"Comporium, Inc."
0003731940,190380,"Troy Cablevision, Inc."
0003732302,130069,"Arkansas Telephone Company, Inc."
0003732484,130784,"Martell Enterprises, Inc."
0003732609,130245,Chickasaw Holding Company
0003732633,130045,"Alpine Communications, LLC"
0003732773,130132,"Blackfoot Telephone Cooperative, Inc."
0003733029,130259,Citizens Mutual Telephone Cooperative
0003733052,230064,"Nebraska Technology and Telecommunications, Inc."
0003733201,130385,"D & P Communications, Inc."
0003733284,130699,Kinsman Mutual Telephone Co.
0003733367,430041,Hancock Telephone Company
0003733789,440110,"WorldNet Communications Service, Inc."
0003733813,131386,U.S. TelePacific Holdings Corp.
0003733847,131362,"Townes Telecommunications, Inc."
0003734167,130314,Columbus Telephone Company
0003734183,300097,"XTel Communications, Inc."
0003734803,130624,HTC Holding Co.
0003734951,130837,Miles Cooperative Telephone Association
0003735016,130079,"Radiate Holdings, LP"
0003735776,131413,"Windstream Holdings, Inc."
0003735784,130079,"Radiate Holdings, LP"
0003735867,130264,Citizens Telephone Company of Kecksburg
0003736238,130263,Green Hills Telephone Corporation
0003736246,130263,Green Hills Telephone Corporation
0003736253,130263,Green Hills Telephone Corporation
0003736378,190245,"Mitel Cloud Services, Inc."
0003737194,131340,The Nebraska Central Telephone Co.
0003737673,330002,Service Electric Television Inc.
0003737699,170002,Bristol Bay Cellular Partnership
0003738416,131413,"Windstream Holdings, Inc."
0003738424,131413,"Windstream Holdings, Inc."
0003738465,131413,"Windstream Holdings, Inc."
0003738655,130432,EATEL Corp.
0003738739,300192,"USConnect Holdings, Inc."
0003738986,130986,Oregon Telephone Corporation
0003738994,130986,Oregon Telephone Corporation
0003739075,130481,Farmers Mutual Telephone Company (OH)
0003739208,131032,"Perry-Spencer Rural Telephone Cooperative, Inc."
0003739216,131032,"Perry-Spencer Rural Telephone Cooperative, Inc."
0003739380,130507,"Foothills Rural Telephone Cooperative Corporation, Inc."
0003739430,130906,"Nuvera Communications, Inc."
0003739513,131226,American Broadband Holding Company
0003739521,131226,American Broadband Holding Company
0003739554,131226,American Broadband Holding Company
0003739976,130691,"Kennebec Telephone Company, Inc."
0003740008,130906,"Nuvera Communications, Inc."
0003740040,131056,Polar Communication Mutual Aid Corporation
0003740396,130337,Consolidated Telcom
0003740412,131358,"Tonica Technologies, Inc."
0003740446,131358,"Tonica Technologies, Inc."
0003740610,130108,BEK Communications Cooperative
0003740628,131407,UTMA
0003740701,130733,Lemonweir Valley Telephone Company
0003740768,131226,American Broadband Holding Company
0003741253,130405,Dickey Rural Telephone Cooperative
0003741386,131005,"Palmetto Rural Telephone Cooperative, Inc."
0003741436,130748,Lismore Cooperative Telephone Company
0003741493,130074,"Arvig Enterprises, Inc."
0003741535,130686,Kasson & Mantorville Telephone Company
0003741550,130662,"Interstate Telecommunications Cooperative, Inc."
0003741576,450001,Federated Telephone Cooperative
0003741642,130347,Cooperative Telephone Exchange
